PCC
MPFC
lIPL
rIPL
lITG
rITG
MDT
lPCer
rPCer
lFEF
rFEF
lPIPS
rPIPS
lAIPS
rAIPS
lMTG
rMTG
DMPFC
lAPFC
rAPFC
lSPG
rSPG
DACC
lAPFC2
rAPFC2
lIC
rIC
lLPC
rLPC
lM1
rM1
SMA
lV1
rV1
lA1
rA1
